C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:569: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 149000, train loss: 0.0244938712567091, lr: 0.00010000000000000003
iter: 150000, train loss: 0.04146285727620125, lr: 1.0000000000000004e-05
count : 31964, accuracy : 61.76379656824857
iter: 151000, train loss: 0.020958034321665764, lr: 1.0000000000000004e-05
iter: 152000, train loss: 0.011213837191462517, lr: 1.0000000000000004e-05
iter: 153000, train loss: 0.019096771255135536, lr: 1.0000000000000004e-05
iter: 154000, train loss: 0.025335663929581642, lr: 1.0000000000000004e-05
iter: 155000, train loss: 0.027207661420106888, lr: 1.0000000000000004e-05
iter: 156000, train loss: 0.033088043332099915, lr: 1.0000000000000004e-05
iter: 157000, train loss: 0.0461060032248497, lr: 1.0000000000000004e-05
iter: 158000, train loss: 0.026004141196608543, lr: 1.0000000000000004e-05
iter: 159000, train loss: 0.030290495604276657, lr: 1.0000000000000004e-05
iter: 160000, train loss: 0.08146321773529053, lr: 1.0000000000000004e-05
count : 31919, accuracy : 61.67684340701809
iter: 161000, train loss: 0.024588676169514656, lr: 1.0000000000000004e-05
iter: 162000, train loss: 0.09947162866592407, lr: 1.0000000000000004e-05
iter: 163000, train loss: 0.01218301709741354, lr: 1.0000000000000004e-05
iter: 164000, train loss: 0.07697713375091553, lr: 1.0000000000000004e-05
iter: 165000, train loss: 0.01794491522014141, lr: 1.0000000000000004e-05
iter: 166000, train loss: 0.06229417398571968, lr: 1.0000000000000004e-05
iter: 167000, train loss: 0.033929143100976944, lr: 1.0000000000000004e-05
iter: 168000, train loss: 0.007988955825567245, lr: 1.0000000000000004e-05
iter: 169000, train loss: 0.020687522366642952, lr: 1.0000000000000004e-05
iter: 170000, train loss: 0.014820060692727566, lr: 1.0000000000000004e-05
count : 31953, accuracy : 61.7425413510589
iter: 171000, train loss: 0.025564106181263924, lr: 1.0000000000000004e-05
iter: 172000, train loss: 0.10817918926477432, lr: 1.0000000000000004e-05
iter: 173000, train loss: 0.0424911193549633, lr: 1.0000000000000004e-05
iter: 174000, train loss: 0.014578428119421005, lr: 1.0000000000000004e-05
iter: 175000, train loss: 0.039595939218997955, lr: 1.0000000000000004e-05
iter: 176000, train loss: 0.02349863201379776, lr: 1.0000000000000004e-05
iter: 177000, train loss: 0.034209638833999634, lr: 1.0000000000000004e-05
iter: 178000, train loss: 0.010173102840781212, lr: 1.0000000000000004e-05
iter: 179000, train loss: 0.012571238912642002, lr: 1.0000000000000004e-05
iter: 180000, train loss: 0.019852014258503914, lr: 1.0000000000000004e-05
count : 32016, accuracy : 61.864275776781575
iter: 181000, train loss: 0.046982623636722565, lr: 1.0000000000000004e-05
iter: 182000, train loss: 0.021002735942602158, lr: 1.0000000000000004e-05
iter: 183000, train loss: 0.016187958419322968, lr: 1.0000000000000004e-05
iter: 184000, train loss: 0.012208173982799053, lr: 1.0000000000000004e-05
iter: 185000, train loss: 0.022419847548007965, lr: 1.0000000000000004e-05
iter: 186000, train loss: 0.024369077757000923, lr: 1.0000000000000004e-05
iter: 187000, train loss: 0.0333908312022686, lr: 1.0000000000000004e-05
iter: 188000, train loss: 0.02167622558772564, lr: 1.0000000000000004e-05
iter: 189000, train loss: 0.0445568822324276, lr: 1.0000000000000004e-05
iter: 190000, train loss: 0.04933258891105652, lr: 1.0000000000000004e-05
count : 31944, accuracy : 61.725150718812806
iter: 191000, train loss: 0.007875093258917332, lr: 1.0000000000000004e-05
iter: 192000, train loss: 0.021419737488031387, lr: 1.0000000000000004e-05
iter: 193000, train loss: 0.00985774863511324, lr: 1.0000000000000004e-05
iter: 194000, train loss: 0.030095091089606285, lr: 1.0000000000000004e-05
iter: 195000, train loss: 0.028481943532824516, lr: 1.0000000000000004e-05
iter: 196000, train loss: 0.06579115986824036, lr: 1.0000000000000004e-05
iter: 197000, train loss: 0.008703909814357758, lr: 1.0000000000000004e-05
iter: 198000, train loss: 0.016129115596413612, lr: 1.0000000000000004e-05
iter: 199000, train loss: 0.02409624308347702, lr: 1.0000000000000004e-05
